,GOOGL US Equity,FB US Equity,MSFT US Equity,UCG IM Equity,TMUS US Equity,BABA US Equity,9984 JP Equity,000660 KS Equity,KKR US Equity,ANTM US Equity,PYPL US Equity,IQV US Equity,LKQ US Equity,WLTW US Equity,AIR FP Equity,CTSH US Equity,BAC US Equity,LNC US Equity,AENA SM Equity,CMCSA US Equity,FLT US Equity,700 HK Equity,ADBE US Equity,FAF US Equity,HSY US Equity,3026 TT Equity,ZS US Equity,ZUO US Equity,2327 TT Equity,TRVG US Equity,2492 TT Equity,CBLK US Equity,SBH US Equity,BATS LN Equity,DF US Equity,TGT US Equity,AEO US Equity,DOCU US Equity,DLX US Equity,HIBB US Equity,PS US Equity,CDAY US Equity,6753 JP Equity,ENPH US Equity,EIF CN Equity,CM CN Equity,QD US Equity,NA CN Equity,AVLR US Equity,WDI GY Equity,CLX US Equity,DIGI MK Equity,BPY US Equity,CHD US Equity,FL US Equity,MO US Equity,ELLI US Equity,RMG LN Equity,WPG US Equity,K US Equity,DG US Equity,OZK US Equity,WAT US Equity,FLT AU Equity,SWCH US Equity,HFG GR Equity,SSYS US Equity,NPK US Equity,IWM US Equity,CAKE US Equity,RGR US Equity,AGN NA Equity,RLI US Equity,AAOI US Equity,001820 KS Equity,SSTK US Equity,NTRI US Equity,MAXIS MK Equity,CWB CN Equity,MYGN US Equity,AMN US Equity,HRL US Equity,4062 JP Equity,SPG US Equity,GSKY US Equity,SPY US Equity,QQQ US Equity
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/11/2012,313.283,#N/A N/A,27.72,12.8188,16.86,#N/A N/A,2189,24250,13.9,72.57,#N/A N/A,#N/A N/A,15.995,102.7812,25.17,35.14,6.87,21.68,#N/A N/A,12.71,32.4,33.44,29.32,13.23,61.09,53.27,#N/A N/A,#N/A N/A,55.23,#N/A N/A,11.29,#N/A N/A,20.04,2977.5,10.1285,49.03,13.08,#N/A N/A,23.55,46.27,#N/A N/A,#N/A N/A,6640,#N/A N/A,25.8,74.6,#N/A N/A,36.165,#N/A N/A,13.065,67.93,3.91,#N/A N/A,22.51,24.65,28.84,5.5,#N/A N/A,#N/A N/A,51.56,40.41,15.32,75.39,17.63,#N/A N/A,#N/A N/A,36.99,96.27,76.57,29.12,35.86,3.377,36.975,#N/A N/A,7400,#N/A N/A,14.27,5.6,26.31,20.98,4.09,14.59,1558,120.388,#N/A N/A,129.2,58.16
1/12/2012,315.125,#N/A N/A,28,14.5527,17.12,#N/A N/A,2173,24150,13.91,71.81,#N/A N/A,#N/A N/A,16.005,102.4103,25.035,34.555,6.79,21.57,#N/A N/A,12.75,32.53,33.54,29.23,13,61.63,52.96,#N/A N/A,#N/A N/A,53.76,#N/A N/A,11.22,#N/A N/A,20.16,2990,10.2216,49.81,13.07,#N/A N/A,23.4,47.05,#N/A N/A,#N/A N/A,6430,#N/A N/A,26.15,75.15,#N/A N/A,36.42,#N/A N/A,13.305,68.37,3.92,#N/A N/A,22.65,24.78,28.84,5.51,#N/A N/A,#N/A N/A,51.44,40.37,15.62,76.71,17.52,#N/A N/A,#N/A N/A,37.18,99.32,76.8,29.46,35.87,3.41,37,#N/A N/A,7360,#N/A N/A,13.76,5.59,26.33,20.75,4.14,14.655,1502,119.419,#N/A N/A,129.51,58.39
1/13/2012,312.798,#N/A N/A,28.25,14.6229,16.7,#N/A N/A,2168,25150,14.07,71.91,#N/A N/A,#N/A N/A,15.87,102.4633,25.15,34.17,6.61,21.07,#N/A N/A,12.69,32.32,34.02,28.97,13.09,61.48,53.06,#N/A N/A,#N/A N/A,52.14,#N/A N/A,10.73,#N/A N/A,20.24,2970,10.1379,49.82,12.97,#N/A N/A,23.22,46.39,#N/A N/A,#N/A N/A,6560,#N/A N/A,26,74.63,#N/A N/A,36.47,#N/A N/A,13.14,68.03,3.9,#N/A N/A,22.66,24.71,28.96,5.4,#N/A N/A,#N/A N/A,50.81,41,15.395,76.06,17.91,#N/A N/A,#N/A N/A,37.09,98.72,76.39,28.99,38.68,3.332,36.82,#N/A N/A,7220,#N/A N/A,13.82,5.59,25.89,20.68,4,14.485,1504,119.335,#N/A N/A,128.84,58.18
1/16/2012,312.798,#N/A N/A,28.25,14.683,16.7,#N/A N/A,2123,25400,14.07,71.91,#N/A N/A,#N/A N/A,15.87,102.4633,25.675,34.17,6.61,21.07,#N/A N/A,12.69,32.32,34.02,28.97,13.09,61.48,53.16,#N/A N/A,#N/A N/A,51.64,#N/A N/A,10.66,#N/A N/A,20.24,2990,10.1379,49.82,12.97,#N/A N/A,23.22,46.39,#N/A N/A,#N/A N/A,6370,#N/A N/A,26.45,74.67,#N/A N/A,36.41,#N/A N/A,13.14,68.03,3.86,#N/A N/A,22.66,24.71,28.96,5.4,#N/A N/A,#N/A N/A,50.81,41,15.395,76.06,17.5,#N/A N/A,#N/A N/A,37.09,98.72,76.39,28.99,38.68,3.501,36.82,#N/A N/A,7040,#N/A N/A,13.82,5.57,25.91,20.68,4,14.485,1464,119.335,#N/A N/A,128.84,58.18
1/17/2012,314.595,#N/A N/A,28.255,15.0939,16.78,#N/A N/A,2102,25550,13.94,72.74,#N/A N/A,#N/A N/A,15.8475,101.9865,25.79,34.215,6.48,21.31,#N/A N/A,12.7675,32.55,35.48,29.35,13.23,61.43,53.78,#N/A N/A,#N/A N/A,53.19,#N/A N/A,10.85,#N/A N/A,20.06,2968,10.1099,49.88,12.99,#N/A N/A,22.64,47,#N/A N/A,#N/A N/A,6370,#N/A N/A,26.04,75.13,#N/A N/A,36.555,#N/A N/A,13.37,68.93,3.85,#N/A N/A,22.84,24.69,28.9,5.5,#N/A N/A,#N/A N/A,50.89,41.38,15.085,77.78,18.15,#N/A N/A,#N/A N/A,36.31,100.04,76.36,29.29,39.67,3.57,36.995,#N/A N/A,7140,#N/A N/A,13.55,5.58,26.03,20.95,4.01,14.62,1474,120.538,#N/A N/A,129.34,58.71
1/18/2012,316.762,#N/A N/A,28.23,14.9135,17.36,#N/A N/A,2075,25250,13.93,72.17,#N/A N/A,#N/A N/A,16.06,102.9666,25.865,34.675,6.8,22.14,#N/A N/A,12.86,32.77,36.2,29.89,13.48,61.94,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.42,2962.5,10.1285,49.87,13.28,#N/A N/A,23.39,47.93,#N/A N/A,#N/A N/A,6320,#N/A N/A,25.85,75.23,#N/A N/A,36.975,#N/A N/A,14,69.35,3.87,#N/A N/A,23.14,25.16,28.96,5.56,#N/A N/A,#N/A N/A,51.16,41.43,15,76.29,18.36,#N/A N/A,#N/A N/A,36.5,100.48,77.72,29.76,39.54,3.598,36.45,#N/A N/A,7030,#N/A N/A,14.07,5.59,26.3,21.33,4.07,14.625,1537,120.801,#N/A N/A,130.77,59.49
1/19/2012,320.095,#N/A N/A,28.12,16.8378,17.86,#N/A N/A,2067,26300,14.1,71.93,#N/A N/A,#N/A N/A,16.285,102.1454,25.525,34.91,6.96,22.28,#N/A N/A,12.935,33.24,35.9,30.24,13.58,61.65,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.5,2897.5,10.1379,50.9,13.67,#N/A N/A,23.39,48.34,#N/A N/A,#N/A N/A,6540,#N/A N/A,25.66,76.3,#N/A N/A,37.99,#N/A N/A,13.845,70.24,3.88,#N/A N/A,23.37,25.73,28.61,5.43,#N/A N/A,#N/A N/A,51.19,41.22,14.995,79.38,18.55,#N/A N/A,#N/A N/A,38.06,103.56,78.2,29.83,38.91,3.778,36.635,#N/A N/A,7100,#N/A N/A,14.06,5.63,27.24,21.86,4.13,14.645,1575,123.378,#N/A N/A,131.46,59.86
1/20/2012,293.279,#N/A N/A,29.71,16.6073,17.44,#N/A N/A,2171,26950,14.1,71.78,#N/A N/A,#N/A N/A,16.295,101.6686,25.65,35.085,7.07,22.5,#N/A N/A,13.035,33.2,36.34,30.5,14,61.54,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.17,2922,9.9518,50.17,13.81,#N/A N/A,23.41,48.53,#N/A N/A,#N/A N/A,6750,#N/A N/A,25.35,76.88,#N/A N/A,38.3,#N/A N/A,13.85,69.99,3.93,#N/A N/A,23.165,25.99,28.7,5.5,#N/A N/A,#N/A N/A,51.07,40.96,14.935,77.99,18.85,#N/A N/A,#N/A N/A,38.31,103.63,78.25,29.94,38.68,3.766,37.22,#N/A N/A,7040,#N/A N/A,14,5.63,27.53,22.22,4.28,14.625,1582,123.791,#N/A N/A,131.54,59.77
1/23/2012,293.044,#N/A N/A,29.73,18.3412,17.48,#N/A N/A,2239,26950,13.88,71.18,#N/A N/A,#N/A N/A,16.29,101.3772,25.645,35.305,7.25,22.7,#N/A N/A,12.965,33.52,36.34,30.23,14.09,61.77,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.13,2948.5,9.9332,50.15,13.78,#N/A N/A,23.37,48.63,#N/A N/A,#N/A N/A,6690,#N/A N/A,25.44,78,#N/A N/A,38.755,#N/A N/A,13.89,69.21,3.93,#N/A N/A,23.095,26.03,28.61,5.55,#N/A N/A,#N/A N/A,51,41.29,14.72,78.76,19.22,#N/A N/A,#N/A N/A,37.34,103.5,78.15,29.31,36.59,3.851,37.01,#N/A N/A,7040,#N/A N/A,13.26,5.63,27.8,22.12,4.69,14.715,1580,123.763,#N/A N/A,131.61,59.79
1/24/2012,290.746,#N/A N/A,29.34,18.8022,17.12,#N/A N/A,2203,26950,13.68,69.4,#N/A N/A,#N/A N/A,16.37,102.8342,25.97,35.59,7.29,22.86,#N/A N/A,12.93,33.66,36.34,30.95,14.09,61.39,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.18,2955,10.0262,50.75,13.88,#N/A N/A,23.42,48.93,#N/A N/A,#N/A N/A,6570,#N/A N/A,25.4,77.64,#N/A N/A,38.65,#N/A N/A,13.95,68.63,3.93,#N/A N/A,22.895,26.08,28.28,5.63,#N/A N/A,#N/A N/A,50.5,41.82,14.745,85.04,19.45,#N/A N/A,#N/A N/A,36.265,102.13,78.6,29.2,38.52,3.797,36.98,#N/A N/A,7040,#N/A N/A,12.56,5.63,27.49,22.45,4.78,14.775,1571,125.747,#N/A N/A,131.46,59.68
1/25/2012,285.021,#N/A N/A,29.56,19.0428,17.64,#N/A N/A,2192,27450,13.97,66.1,#N/A N/A,#N/A N/A,16.295,103.311,25.81,35.885,7.35,21.94,#N/A N/A,13.06,33.97,36.34,31.34,14.77,61.6,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.45,2939,10.1844,51.14,14.04,#N/A N/A,23.34,49.49,#N/A N/A,#N/A N/A,6660,#N/A N/A,25.35,76.88,#N/A N/A,38.37,#N/A N/A,14.06,68.64,3.95,#N/A N/A,22.95,26.67,28.67,5.67,#N/A N/A,#N/A N/A,50.91,42.7,14.68,87.91,19.44,#N/A N/A,#N/A N/A,35.95,100.32,79.27,29.68,39.61,3.81,36.885,#N/A N/A,7220,#N/A N/A,12.85,5.69,27.04,22.83,4.87,14.8,1623,127.684,#N/A N/A,132.56,60.43
1/26/2012,284.325,#N/A N/A,29.5,19.153,17.56,#N/A N/A,2236,27050,13.75,64.3,#N/A N/A,#N/A N/A,16.25,103.0461,25.445,35.615,7.3,20.69,#N/A N/A,13.155,33.76,36.58,31.18,14.97,61.53,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.58,2971.5,10.0727,50.5,13.99,#N/A N/A,24.65,48.38,#N/A N/A,#N/A N/A,6660,#N/A N/A,25.27,75.27,#N/A N/A,38,#N/A N/A,13.9,68.84,3.95,#N/A N/A,22.945,26.28,28.66,5.64,#N/A N/A,#N/A N/A,49.99,42.42,14.23,86.95,19.44,#N/A N/A,#N/A N/A,36.37,99.6,79.18,29.72,39.13,3.732,36.13,#N/A N/A,7410,#N/A N/A,12.44,5.72,26.8,23.08,4.94,14.79,1637,128.37,#N/A N/A,131.88,60.22
1/27/2012,290.271,#N/A N/A,29.23,18.2911,17.48,#N/A N/A,2230,26000,13.83,65.42,#N/A N/A,#N/A N/A,16.34,102.5958,25.61,35.665,7.29,20.98,#N/A N/A,13.165,34.11,36.26,31.05,14.98,61.24,55.1,#N/A N/A,#N/A N/A,56.36,#N/A N/A,11.08,#N/A N/A,20.73,2954,10.0541,50.05,13.99,#N/A N/A,25.45,48.95,#N/A N/A,#N/A N/A,6630,#N/A N/A,25,75.01,#N/A N/A,37.88,#N/A N/A,13.8,68.56,3.95,#N/A N/A,22.765,26.44,28.14,5.66,#N/A N/A,#N/A N/A,49.73,42.09,14.07,86.82,19.12,#N/A N/A,#N/A N/A,36.76,99.61,79.72,29.76,39.75,3.651,35.5,#N/A N/A,7320,#N/A N/A,12.16,5.7,26.46,23.29,4.82,14.515,1590,128.521,#N/A N/A,131.82,60.4
1/30/2012,289.125,#N/A N/A,29.61,17.8601,17.58,#N/A N/A,2181,26250,13.94,64.43,#N/A N/A,#N/A N/A,16.315,102.4633,25.38,35.495,7.07,21.41,#N/A N/A,13.18,33.82,36.88,31,14.76,61.7,56.33,#N/A N/A,#N/A N/A,60.31,#N/A N/A,11.6,#N/A N/A,20.68,2962.5,9.9611,50.33,14.03,#N/A N/A,25.69,47.91,#N/A N/A,#N/A N/A,6580,#N/A N/A,24.6,75.49,#N/A N/A,37.73,#N/A N/A,13.81,68.31,3.94,#N/A N/A,22.65,26.39,28.39,6.02,#N/A N/A,#N/A N/A,49.47,42.3,13.865,86.27,19.42,#N/A N/A,#N/A N/A,36.39,98.4,79.1,30.01,39.59,3.548,35.915,#N/A N/A,7050,#N/A N/A,11.58,5.56,26.5,23.26,4.76,14.355,1541,127.411,#N/A N/A,131.37,60.45
1/31/2012,290.336,#N/A N/A,29.53,18.9927,17.68,#N/A N/A,2123,26850,13.98,64.32,#N/A N/A,#N/A N/A,16.3,102.9666,25.68,35.875,7.13,21.54,#N/A N/A,13.29,33.99,37.94,30.95,14.82,61.08,56.73,#N/A N/A,#N/A N/A,64.11,#N/A N/A,11.95,#N/A N/A,20.62,2917,10.0076,50.81,14.09,#N/A N/A,25.57,47.93,#N/A N/A,#N/A N/A,6560,#N/A N/A,24.93,76.25,#N/A N/A,37.61,#N/A N/A,13.74,68.66,3.96,#N/A N/A,22.685,26.24,28.4,5.89,#N/A N/A,#N/A N/A,49.52,42.61,13.995,86.57,19.3,#N/A N/A,#N/A N/A,36.75,97.72,79.02,29.58,39.65,3.705,35.66,#N/A N/A,7150,#N/A N/A,11.9,5.71,26.47,23.66,5.09,14.39,1555,127.74,#N/A N/A,131.32,60.53
2/1/2012,290.696,#N/A N/A,29.89,19.9047,18.24,#N/A N/A,2139,27200,14.56,66.13,#N/A N/A,#N/A N/A,16.735,104.662,25.955,36.4875,7.36,22.12,#N/A N/A,13.425,34.35,36.74,31.24,15.05,61.3,57.35,#N/A N/A,#N/A N/A,64.89,#N/A N/A,12.78,#N/A N/A,20.7,2996.5,10.1099,51.42,14.32,#N/A N/A,25.91,48.95,#N/A N/A,#N/A N/A,6280,#N/A N/A,24.9,76.7,#N/A N/A,37.985,#N/A N/A,13.945,69.13,3.96,#N/A N/A,22.945,26.65,28.43,6,#N/A N/A,#N/A N/A,49.31,42.32,14.23,88.33,19.04,#N/A N/A,#N/A N/A,38.635,99.32,80.72,30.22,39.91,3.811,36.305,#N/A N/A,7070,#N/A N/A,11.4,5.71,26.7,23.97,5.38,14.485,1612,128.342,#N/A N/A,132.47,61.02
2/2/2012,292.838,#N/A N/A,29.95,19.9147,18.44,#N/A N/A,2230,27300,14.46,65.16,#N/A N/A,#N/A N/A,16.335,104.6355,25.96,36.3075,7.45,22.67,#N/A N/A,13.345,34.47,37.48,31.285,14.9,61.55,57.65,#N/A N/A,#N/A N/A,64.89,#N/A N/A,13.19,#N/A N/A,21.94,2988,9.9146,52,14.1,#N/A N/A,25.51,47.95,#N/A N/A,#N/A N/A,5280,#N/A N/A,24.95,76.39,#N/A N/A,37.785,#N/A N/A,13.97,68.73,4.1,#N/A N/A,22.875,26.53,28.54,6.01,#N/A N/A,#N/A N/A,50.59,42.3,14.25,88.78,19.7,#N/A N/A,#N/A N/A,39.32,99.4,81.18,30.22,41.6,3.819,36.285,#N/A N/A,7220,#N/A N/A,11.4,5.71,26.71,23.66,5.41,14.51,1757,129.235,#N/A N/A,132.68,61.21
2/3/2012,298.454,#N/A N/A,30.24,20.6364,18.88,#N/A N/A,2149,26300,14.54,65.07,#N/A N/A,#N/A N/A,16.215,103.9997,27.54,36.675,7.84,23.84,#N/A N/A,13.575,34.74,37.18,31.85,15.23,61.16,58.88,#N/A N/A,#N/A N/A,69.4,#N/A N/A,13.54,#N/A N/A,21.82,3043,9.9611,52.14,14.03,#N/A N/A,26.54,48.65,#N/A N/A,#N/A N/A,5430,#N/A N/A,25.05,76.35,#N/A N/A,37.99,#N/A N/A,13.85,69.86,4.11,#N/A N/A,22.85,27,28.84,6.29,#N/A N/A,#N/A N/A,50.84,41.94,14.585,89.49,19.52,#N/A N/A,#N/A N/A,40.87,102.06,82.95,31.01,42.87,3.865,36.44,#N/A N/A,7150,#N/A N/A,11.53,5.71,26.85,23.84,5.65,14.61,1666,130.439,#N/A N/A,134.54,62.05
2/6/2012,304.84,#N/A N/A,30.2,20.9671,19.22,#N/A N/A,2147,26100,14.82,64.37,#N/A N/A,#N/A N/A,16.395,103.9732,27.23,36.185,7.97,23.65,#N/A N/A,13.545,35.23,37.16,31.855,14.96,61.01,57.24,#N/A N/A,#N/A N/A,67.07,#N/A N/A,13.32,#N/A N/A,21.85,3069,9.9983,52.05,13.83,#N/A N/A,26.21,48.82,#N/A N/A,#N/A N/A,5270,#N/A N/A,25.08,76.4,#N/A N/A,38.03,#N/A N/A,13.735,69.41,4.11,#N/A N/A,22.62,27.1,28.64,6.27,#N/A N/A,#N/A N/A,50.68,42.02,14.615,89.26,19.7,#N/A N/A,#N/A N/A,40.57,101.17,82.68,30.58,43.04,3.85,36.33,#N/A N/A,7050,#N/A N/A,11.52,5.71,26.62,24,5.55,14.525,1686,129.301,#N/A N/A,134.45,62
2/7/2012,303.679,#N/A N/A,30.35,21.9493,19.1,#N/A N/A,2160,25400,14.96,65,#N/A N/A,#N/A N/A,16.26,103.4434,26.955,36.005,7.85,23.82,#N/A N/A,13.545,35.21,36.72,32.28,14.81,60.44,57.35,#N/A N/A,#N/A N/A,64.89,#N/A N/A,13.12,#N/A N/A,20.82,3092.5,9.896,52.41,13.88,#N/A N/A,26.15,49.03,#N/A N/A,#N/A N/A,5360,#N/A N/A,25.05,76.34,#N/A N/A,37.895,#N/A N/A,13.63,69.57,4.11,#N/A N/A,23.815,26.77,28.82,6.42,#N/A N/A,#N/A N/A,50.82,42.41,14.51,88.83,19.75,#N/A N/A,#N/A N/A,38.06,100.1,82.63,30.68,43.08,3.827,36.45,#N/A N/A,7120,#N/A N/A,11.54,5.71,26.9,23.94,5.46,14.54,1700,129.264,#N/A N/A,134.79,62.13
2/8/2012,305.22,#N/A N/A,30.66,22.4404,19.18,#N/A N/A,2213,26500,14.87,64.83,#N/A N/A,#N/A N/A,16.07,104.3176,26.455,35.375,8.13,24.39,#N/A N/A,13.625,35.74,37.2,32.1,14.74,60.3,58.57,#N/A N/A,#N/A N/A,69.4,#N/A N/A,13.65,#N/A N/A,21.65,3082.5,9.896,52.57,13.64,#N/A N/A,25.62,48.47,#N/A N/A,#N/A N/A,5390,#N/A N/A,25.22,77,#N/A N/A,38.075,#N/A N/A,13.885,68.38,4.14,#N/A N/A,23.795,26.7,28.84,6.45,#N/A N/A,#N/A N/A,50.34,42.27,14.525,88.56,19.93,#N/A N/A,#N/A N/A,37.73,101.65,82.81,31.1,42.26,3.909,36.115,#N/A N/A,7130,#N/A N/A,11.7,5.71,27.39,23.58,5.52,14.56,1732,129.414,#N/A N/A,135.19,62.46
2/9/2012,306.026,#N/A N/A,30.77,22.2199,19.3,#N/A N/A,2220,27050,15.06,64.65,#N/A N/A,#N/A N/A,16.18,104.6355,26.83,35.34,8.18,24.38,#N/A N/A,13.73,36.75,37.92,32.65,14.7,59.79,59.8,#N/A N/A,#N/A N/A,73.62,#N/A N/A,14.13,#N/A N/A,21.93,3096.5,9.896,52.7,13.69,#N/A N/A,25.65,48.16,#N/A N/A,#N/A N/A,5360,#N/A N/A,25.54,77.06,#N/A N/A,38.2,#N/A N/A,14.03,68.45,4.14,#N/A N/A,23.8,26.68,29.3,6.44,#N/A N/A,#N/A N/A,50.21,42.67,14.48,88.34,20.45,#N/A N/A,#N/A N/A,37.31,100.39,82.4,31.16,42.41,3.915,36.295,#N/A N/A,7200,#N/A N/A,11.42,5.72,27.74,23.37,5.57,14.7,1730,129.658,#N/A N/A,135.36,62.91
2/10/2012,303.249,#N/A N/A,30.495,21.1676,19.62,#N/A N/A,2301,27000,15.07,64.17,#N/A N/A,#N/A N/A,15.92,103.4169,26.75,35.04,8.07,24.165,#N/A N/A,13.5875,36.49,37.2,32.21,14.67,59.55,62.24,#N/A N/A,#N/A N/A,73.27,#N/A N/A,14.83,#N/A N/A,22.92,3109,9.9425,52.43,13.77,#N/A N/A,25.27,48.075,#N/A N/A,#N/A N/A,5410,#N/A N/A,25.44,76.93,#N/A N/A,38.27,#N/A N/A,14.68,67.75,4.13,#N/A N/A,23.715,26.93,29.21,6.53,#N/A N/A,#N/A N/A,49.81,42.89,14.44,87.8,20.74,#N/A N/A,#N/A N/A,36.15,100.35,81.27,31.13,41.8,3.763,35.915,#N/A N/A,7540,#N/A N/A,11.25,5.73,27.74,23.28,5.42,14.49,1771,128.587,#N/A N/A,134.361,62.475
2/13/2012,306.397,#N/A N/A,30.58,20.3658,19.92,#N/A N/A,2382,26850,15.01,64.66,#N/A N/A,#N/A N/A,15.84,103.7878,27.05,35.325,8.25,24.77,#N/A N/A,13.705,35.4,37.52,32.35,14.69,59.83,60.92,#N/A N/A,#N/A N/A,73.98,#N/A N/A,15.04,#N/A N/A,23.2,3129.5,10.1658,52.36,13.63,#N/A N/A,25.58,48.51,#N/A N/A,#N/A N/A,5350,#N/A N/A,25.57,76.79,#N/A N/A,38.3,#N/A N/A,14.48,68.07,4.1,#N/A N/A,23.855,27.07,29.23,6.67,#N/A N/A,#N/A N/A,50.02,41.76,14.7,88.14,21.03,#N/A N/A,#N/A N/A,37.36,101.12,82.32,31.24,43.47,3.919,36.22,#N/A N/A,7540,#N/A N/A,11.44,5.74,27.72,23.47,5.54,14.425,1766,128.699,#N/A N/A,135.36,63.05
2/14/2012,305.175,#N/A N/A,30.25,20.4059,19.98,#N/A N/A,2378,27550,14.61,65.69,#N/A N/A,#N/A N/A,15.905,102.4368,26.99,35.3725,7.98,24,#N/A N/A,13.625,36.14,37.24,32.44,14.69,60.62,60,#N/A N/A,#N/A N/A,71.86,#N/A N/A,14.41,#N/A N/A,23.16,3147,10.1099,52.27,13.58,#N/A N/A,25.71,49.37,#N/A N/A,#N/A N/A,5330,#N/A N/A,25.47,76.81,#N/A N/A,38.26,#N/A N/A,14.52,68.09,4.1,#N/A N/A,23.725,27.68,29.27,6.83,#N/A N/A,#N/A N/A,50.3,42.49,14.565,88.51,20.7,#N/A N/A,#N/A N/A,37.46,100.19,81.95,31.01,43.34,3.753,35.595,#N/A N/A,7590,#N/A N/A,11.31,5.8,27.83,23,5.45,14.465,1771,127.665,#N/A N/A,135.19,63.21
2/15/2012,303.073,#N/A N/A,30.05,20.8468,20.06,#N/A N/A,2388,29000,14.54,65.15,#N/A N/A,#N/A N/A,15.9,91.4435,27.035,35.36,7.78,24.32,#N/A N/A,14.26,36.14,38.74,32.46,14.57,60.5,60.31,#N/A N/A,#N/A N/A,72.21,#N/A N/A,15.04,#N/A N/A,23.25,3145,11.1516,51.81,14.19,#N/A N/A,24.72,48.71,#N/A N/A,#N/A N/A,5390,#N/A N/A,24.81,76.88,#N/A N/A,38.35,#N/A N/A,14.59,68.37,4.16,#N/A N/A,23.855,27.81,29.25,6.88,#N/A N/A,#N/A N/A,52.87,42.27,14.395,87.92,20.45,#N/A N/A,#N/A N/A,37.36,99.08,81.27,31.12,43.82,3.735,35.31,#N/A N/A,7450,#N/A N/A,11.19,5.76,27.92,23.39,5.43,14.485,1838,127.938,#N/A N/A,134.56,62.77
2/16/2012,303.554,#N/A N/A,31.285,20.8368,20.7,#N/A N/A,2386,28700,14.89,66.23,#N/A N/A,#N/A N/A,16.34,90.3839,26.89,35.98,8.09,25.56,#N/A N/A,14.3225,36.42,39.88,32.86,14.95,60.48,59.39,#N/A N/A,#N/A N/A,70.24,#N/A N/A,14.27,#N/A N/A,23.17,3148,11.1981,51.93,14.32,#N/A N/A,25.45,49.47,#N/A N/A,#N/A N/A,5450,#N/A N/A,24.87,77.15,#N/A N/A,38.255,#N/A N/A,14.37,68.61,4.1,#N/A N/A,23.755,28.17,29.54,6.95,#N/A N/A,#N/A N/A,52.56,41.94,14.805,89.1,20.07,#N/A N/A,#N/A N/A,38.02,99.23,82.8,31.45,43.93,3.729,35.765,#N/A N/A,7250,#N/A N/A,11.38,5.77,27.49,23.91,5.75,14.565,1815,129.687,#N/A N/A,136.049,63.63
